cpus=2
              ip-1803  [001] d.h3.   142.383751: funcgraph_entry:        0.240 us   |                        record_times(); (ret=0x0)
              ip-1803  [001] d.h3.   142.383752: funcgraph_entry:                   |                        queue_delayed_work_on() {
              ip-1803  [001] d.h3.   142.383752: funcgraph_entry:        0.220 us   |                          clear_pending_if_disabled(); (ret=0x0)
              ip-1803  [001] d.h3.   142.383752: funcgraph_entry:                   |                          __queue_delayed_work() {
              ip-1803  [001] d.h3.   142.383753: funcgraph_entry:        0.200 us   |                            housekeeping_enabled(); (ret=0xfffd9a00)
              ip-1803  [001] d.h3.   142.383753: funcgraph_entry:                   |                            add_timer_global() {
              ip-1803  [001] d.h3.   142.383753: funcgraph_entry:                   |                              lock_timer_base() {
              ip-1803  [001] d.h3.   142.383754: funcgraph_entry:        0.210 us   |                                _raw_spin_lock_irqsave(); (ret=0x82)
              ip-1803  [001] d.h4.   142.383754: funcgraph_exit:         0.640 us   |                              } (ret=0xffff88d8fbd1f500)
              ip-1803  [001] d.h4.   142.383754: funcgraph_entry:        0.210 us   |                              detach_if_pending(); (ret=0x0)
              ip-1803  [001] d.h4.   142.383755: funcgraph_entry:        0.230 us   |                              calc_wheel_index(); (ret=0x8c)
              ip-1803  [001] d.h4.   142.383755: funcgraph_entry:        0.220 us   |                              enqueue_timer(); (ret=0x0)
              ip-1803  [001] d.h4.   142.383756: funcgraph_entry:                   |                              _raw_spin_unlock_irqrestore() {
              ip-1803  [001] d.h6.   142.383757: funcgraph_entry:        0.260 us   |                                housekeeping_any_cpu(); (ret=0x1)
              ip-1803  [001] d.h7.   142.383757: funcgraph_entry:                   |                                arch_irq_work_raise() {
              ip-1803  [001] d.h7.   142.383757: funcgraph_entry:        2.460 us   |                                  x2apic_send_IPI_self(); (ret=0x0)
              ip-1803  [001] d.h7.   142.383760: funcgraph_exit:         3.020 us   |                                } (ret=0x0)
              ip-1803  [001] d.h3.   142.383761: funcgraph_exit:         4.800 us   |                              } (ret=0x0)
              ip-1803  [001] d.h3.   142.383761: funcgraph_exit:         7.540 us   |                            } (ret=0x0)
              ip-1803  [001] d.h3.   142.383761: funcgraph_exit:         8.510 us   |                          } (ret=0x0)
              ip-1803  [001] d.h3.   142.383761: funcgraph_exit:         9.450 us   |                        } (ret=0x1)
              ip-1803  [001] d.h3.   142.383761: funcgraph_exit:       + 10.640 us  |                      } (ret=0x0)
              ip-1803  [001] d.h3.   142.383762: funcgraph_entry:                   |                      psi_group_change() {
              ip-1803  [001] d.h3.   142.383762: funcgraph_entry:        0.210 us   |                        record_times(); (ret=0x0)
              ip-1803  [001] d.h3.   142.383762: funcgraph_exit:         0.710 us   |                      } (ret=0x0)
              ip-1803  [001] d.h3.   142.383763: funcgraph_entry:                   |                      psi_group_change() {
              ip-1803  [001] d.h3.   142.383763: funcgraph_entry:        0.210 us   |                        record_times(); (ret=0x0)
              ip-1803  [001] d.h3.   142.383763: funcgraph_exit:         0.700 us   |                      } (ret=0x0)
              ip-1803  [001] d.h3.   142.383764: funcgraph_exit:       + 14.140 us  |                    } (ret=0x0)
              ip-1803  [001] d.h3.   142.383764: funcgraph_exit:       + 31.000 us  |                  } (ret=0x0)
              ip-1803  [001] d.h3.   142.383764: funcgraph_entry:                   |                  wakeup_preempt() {
              ip-1803  [001] d.h3.   142.383764: funcgraph_entry:                   |                    wakeup_preempt_fair() {
              ip-1803  [001] d.h3.   142.383765: funcgraph_entry:                   |                      update_curr() {
              ip-1803  [001] d.h3.   142.383765: funcgraph_entry:        0.210 us   |                        update_se(); (ret=0x0)
              ip-1803  [001] d.h3.   142.383765: funcgraph_exit:         0.660 us   |                      } (ret=0x0)
              ip-1803  [001] d.h3.   142.383765: funcgraph_entry:                   |                      update_curr() {
              ip-1803  [001] d.h3.   142.383766: funcgraph_entry:        0.210 us   |                        update_se(); (ret=0x33de3)
              ip-1803  [001] d.h3.   142.383766: funcgraph_exit:         0.680 us   |                      } (ret=0x0)
